"","region_txt","date","sum"
"325","Central America & Caribbean",1989-04-01 10:00:00,13
"326","Central America & Caribbean",1989-05-01 10:00:00,51
"327","Central America & Caribbean",1989-06-01 10:00:00,24
"328","Central America & Caribbean",1989-07-01 10:00:00,35
"329","Central America & Caribbean",1989-08-01 10:00:00,97
"330","Central America & Caribbean",1989-09-01 10:00:00,58
"331","Central America & Caribbean",1989-10-01 10:00:00,35
"332","Central America & Caribbean",1989-11-01 11:00:00,17
"333","Central America & Caribbean",1989-12-01 11:00:00,8
"334","Central America & Caribbean",1990-01-01 11:00:00,6
"335","Central America & Caribbean",1990-02-01 11:00:00,9
"336","Central America & Caribbean",1990-03-01 11:00:00,73
"337","Central America & Caribbean",1990-04-01 10:00:00,14
"338","Central America & Caribbean",1990-05-01 10:00:00,26
"339","Central America & Caribbean",1990-06-01 10:00:00,12
"340","Central America & Caribbean",1990-07-01 10:00:00,7
"341","Central America & Caribbean",1990-08-01 10:00:00,10
"342","Central America & Caribbean",1990-09-01 10:00:00,4
"343","Central America & Caribbean",1990-10-01 10:00:00,8
"344","Central America & Caribbean",1990-11-01 11:00:00,37
"345","Central America & Caribbean",1990-12-01 11:00:00,200
"346","Central America & Caribbean",1991-01-01 11:00:00,26
"347","Central America & Caribbean",1991-02-01 11:00:00,18
"348","Central America & Caribbean",1991-03-01 11:00:00,80
"349","Central America & Caribbean",1991-04-01 10:00:00,19
"350","Central America & Caribbean",1991-05-01 10:00:00,60
"351","Central America & Caribbean",1991-06-01 10:00:00,31
"352","Central America & Caribbean",1991-07-01 10:00:00,111
"353","Central America & Caribbean",1991-08-01 10:00:00,97
"354","Central America & Caribbean",1991-09-01 10:00:00,147
"355","Central America & Caribbean",1991-10-01 10:00:00,61
"356","Central America & Caribbean",1991-11-01 11:00:00,41
"357","Central America & Caribbean",1991-12-01 11:00:00,23
"358","Central America & Caribbean",1992-01-01 11:00:00,31
"359","Central America & Caribbean",1992-02-01 11:00:00,16
"360","Central America & Caribbean",1992-03-01 10:00:00,4
"361","Central America & Caribbean",1992-04-01 10:00:00,4
"362","Central America & Caribbean",1992-05-01 10:00:00,16
"363","Central America & Caribbean",1992-06-01 10:00:00,5
